username,Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Hentai,Horror,Mahou Shoujo,Mecha,Music,Mystery,Psychological,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Thriller
Fauxx,7.332310838445808,7.549333333333334,7.297910447761194,7.839075630252101,6.930827067669173,7.370882352941176,3.5,7.642222222222221,,6.751470588235295,7.611111111111112,7.955555555555556,7.845161290322581,7.281188118811881,7.298333333333334,7.573333333333333,6.9727272727272736,7.508333333333333,7.910256410256411
Bola08,7.835164835164833,8.046808510638298,7.683823529411764,8.33333333333333,7.255813953488372,7.840277777777778,,8.059999999999999,7.75,7.1,7.8,8.083333333333334,8.435,7.469999999999999,7.793548387096775,7.779166666666668,8.3,7.882608695652173,8.53
ShinyaH,7.531598513011152,7.660377358490566,7.501930501930502,7.389333333333333,7.346590909090909,7.627155172413793,4.5,6.176470588235294,9.028571428571428,8.491803278688524,7.486486486486487,7.268115942028985,7.012820512820513,7.800829875518672,7.497109826589595,7.395121951219512,6.487804878048781,7.417910447761194,6.894736842105263
superp2222,6.761261261261261,7.602777777777777,6.03921568627451,6.9542553191489365,4.522222222222222,6.093684210526316,,6.609999999999999,0.0,8.28,7.15,5.694594594594594,6.2775,6.333766233766234,7.959375,6.805797101449275,8.333333333333332,6.416363636363636,8.3
moyaiking,7.105263157894737,7.026315789473684,7.214285714285714,7.481927710843373,7.5,7.183673469387755,,7.142857142857143,8.333333333333334,7.0,7.0,7.48,7.583333333333333,6.962962962962963,6.538461538461538,7.542857142857143,8.0,6.743589743589744,7.866666666666666
DomG26,7.425,7.573469387755101,7.451886792452831,8.2,6.818181818181818,7.394520547945205,,7.414285714285713,7.35,7.720000000000001,7.88,7.256410256410256,7.741304347826087,7.65,7.327500000000001,7.91153846153846,7.633333333333333,7.479452054794522,8.070833333333335
Magenta,6.016666666666667,6.526470588235294,7.071212121212122,6.552439024390244,6.941666666666667,6.763829787234043,,7.227272727272727,6.566666666666667,5.0,7.8,7.071428571428571,6.014285714285714,6.821212121212122,5.6,7.1854545454545455,7.2142857142857135,6.666666666666667,5.9
Reeyzinzkr,4.978113207547169,5.041221374045802,4.977049180327869,5.584999999999999,4.823809523809524,5.159574468085107,,4.793103448275862,4.111111111111111,5.217441860465117,4.8,5.340517241379311,5.268421052631579,5.427719298245615,5.0040462427745664,5.9838509316770185,6.0,5.393548387096774,6.1020408163265305
ColdRain,7.204166666666665,7.625,5.716666666666667,7.9722222222222205,6.730769230769232,7.584090909090909,,5.85,,8.342857142857143,10.0,6.84090909090909,7.916666666666668,6.757142857142858,7.231250000000001,6.070000000000001,9.8,7.648484848484849,7.950000000000001
nekoama,6.266216216216216,6.497560975609756,6.862499999999998,6.958441558441559,6.1,6.609999999999999,,5.219999999999999,,5.6,5.7,6.528571428571427,6.615151515151516,6.891111111111109,6.158823529411766,7.263636363636365,5.1,6.577551020408162,7.119999999999999
Bokunomuichiro,7.37429718875502,7.22887323943662,7.215492957746478,7.6498054474708175,6.879310344827586,7.207692307692308,,6.7,7.833333333333333,7.444444444444445,7.5,7.549473684210527,7.814285714285714,7.160583941605839,7.371951219512195,7.535087719298246,7.105263157894737,7.3527272727272734,7.966666666666667
